ss_username,cf_username,cf_rating,cc_username,cc_rating
JovanB,jovanb,2495.0,jovan_b,2359.0
pkacprzak,pkacprzak,1959.0,pkacprzak,2357.0
rathi_22,toothbrush,1927.3624999263873,rathi_22,2357.0
VictorForbes,victorforbes,2149.0,victorforbes,2356.0
Wernieris,wernier,2215.0,mitsumuto,2352.0
ankitsultana,bk2dcradle,2136.0,ankit1s10_3,2351.0
abhi1agarwal,abhi1agarwal,1904.0,abhi1agarwal,2350.0
aneesh2312,aneesh2312,2162.0,aneesh2312,2346.0
cheissmart,cheissmart,2506.0,cheissmart,2342.0
Neil,neil,2163.0,neil_veira,2340.0
sameer5,sameergulati,2151.0,neo1tech9_7,2339.0
wittyskull,wittyskull,1910.7312588148086,shivamtanay,2337.0
deva2802,deva2802,2213.0,deva2802,2335.0
anveshi,anveshi,1838.0,anveshi,2332.0
NOOBxCODER,noobxcoder,2381.0,rishabhdevil,2331.0
aviroop123,aviroop97,2237.0,aviroop123,2330.0
xariniov9,xariniov9,1903.247200314598,xariniov9,2328.0
arsijo,arsijo,2723.0,arsijo,2327.0
Rubanenko,rubanenko,2262.0,rubanenko,2326.0
talos,bipinpathak,1983.0,bipinpathak,2320.0
megatron10,megatron10,1892.436893592072,megatron10,2315.0
Utkarsh_25dec,utkarsh.25dec,1891.6053315364932,utkarsh_25dec,2314.0
wizard,roy.satyam,1890.773769480914,satyam_343,2313.0
kalptaru,kalptaru,1887.4475212585985,kalptaru_123,2309.0
ikbal,ikbal,2181.0,contesant,2308.0
nmalviya,nmalviya52,1969.0,nmalviya1929,2304.0
neko_nyaa,neko_nyaa,2545.0,neko_nyaa,2302.0
huikang,huikang,1879.963462758388,tonghuikang,2300.0
vagesh_verma,garuna,2131.0,vagesh_verma,2298.0
nikaB,nikabb,1878.30033864723,nika_b,2298.0
ExplodingFreeze,explodingfreeze,2196.0,explodingfrz,2296.0
pratyush1019,pratyush1019,1958.0,pratyush1019,2295.0
shinigami11,shinigami11,2116.0,ashishthecoder,2295.0
nonsequitur,nonsequitur,2241.0,nonsequitur,2291.0
Sanja,sanja,2239.0,sanja,2289.0
sanchit_h,sanchit_h,1869.984718091441,sanchit_h,2288.0
ankurdua15,ankurdua15,2146.0,ankurdua15,2285.0
neeraj745,neeraj745,1773.0,neeraj745,2284.0
mnaveenkumar2009,mnaveenkumar2009,1866.6584698691252,mnaveenkumar20,2284.0
dthangnguyen19,dthangnguyen19,2116.0,thanglegons,2281.0
evilbuggy,evilbuggy,1864.1637837023884,evilbuggy,2281.0
ffao,ffao,1864.1637837023884,ffao,2281.0
RezwanArefin01,rezwan.arefin01,2047.0,rezwanarefin01,2277.0
Everule,everule,2573.0,everule1,2277.0
johan_liebert,death_scythe,1925.0,pranavarora,2276.0
aZvezda,azvezda,2173.0,azvezda,2276.0
itisalways42,itisalways42,1857.511287257757,itisalways42,2273.0
torque,torquecode,1723.0,torque,2272.0
sidhant007,sidhant,1856.679725202178,sidhant007,2272.0
bnkalya1502,bnkalya1502,2202.0,bnkalya1502,2269.0
uditgulati0,uditgulati0,1851.6903528687044,uditgulati0,2266.0
ujjwal9895,ujjwal9895,1954.0,ujjwal9895,2265.0
ankit_1107,ankit_1107,1850.8587908131253,ankit_iit,2265.0
manish05,manish05,1808.0,manish05,2264.0
lavish315,lavish315,1850.0272287575465,lavish315,2264.0
ssjgz,,1850.0272287575465,ssjgz,2264.0
pulkitsinghal,pulkitsinghal,1602.0,pulkitsinghal,2260.0
coder_pulkit_c,coder_pulkit_c,2100.0,coder_pulkit_c,2260.0
sayanmedya,sayanmedya,2259.0,sayanmedya,2259.0
asymptote_,advitiyabrijesh,1706.0,anmol137dh08,2258.0
saharshluthra,saharshluthra,2175.0,saharshluthra,2254.0
soham_1234,soham_1234,1841.7116082017571,soham1234,2254.0
pavement,pavement,2417.0,pavement,2252.0
nishant_coder,nishant_coder,1840.0484840905992,nishant_coder,2252.0
nic6200,nic6200,1885.0,nic6200,2251.0
Hamzqq9,hamzqq9,2190.0,hamzqq9,2250.0
rajarshi_basu,rajarshi_basu,1837.5537979238625,rajarshi_basu,2249.0
hikarico,hikari9,1951.0,hikarico,2247.0
letstry,triveni,1795.0,triveni,2246.0
rahman_worlds,izaj,1806.0,izaj1999,2245.0
hemanth_1,hemanth_1,1789.0,hemanth_1,2244.0
scopeinfinity,scopeinfinity,1876.0,scopeinfinity,2241.0
shivamg_isc,shivamg_isc,1745.0,shivamg_isc,2240.0
nitishk24,nitishk24,2108.0,nitishk24,2239.0
sudouc,ex-surreal,1970.0,mamu,2237.0
divakar_tomar,divakar_tomar,1750.0,divakar_tomar,2235.0
ajaybgunjal,ajaybgunjal,2115.0,ajaybgunjal199,2235.0
aaijmrt,aaijmrt,1693.0,aaijmrt,2234.0
amitgoel248,amitgoel,1725.0,amitgoel248,2234.0
nibnalin,nibnalin,1825.0803670901785,nibnalin,2234.0
aditya09,aditya09,1888.0,aditya09,2233.0
vishusachdeva,vishusachdeva,1913.0,vishusachdeva,2232.0
Chenghiz,chenghiz,1823.4172429790206,mayankkhetan,2232.0
iamstg,iamstg,1746.0,iamstg,2231.0
ujju_is_great,ujju_sucks,2088.0,ujju_sucks2,2230.0
mikal09,saurabh_dtu,1820.9225568122838,saurabh_dtu,2229.0
vikky_codder,vikky_codder,1916.0,vikky_codder,2228.0
DomiiKo,domiko,2123.0,domiko,2228.0
kalpitk,kalpitk,1817.596308589968,kalpitk,2225.0
amitgomi,amitgomi,1864.0,amitgomi,2224.0
Yazmau,yazmau,2105.0,yazmau,2223.0
avi892nash,avi892nash,1815.9331844788103,avi892nash,2223.0
darkhope,darkhope,1556.0,tabish13,2222.0
Learner99,learner99,2110.0,utsav_rajpara,2222.0
uhateme99,uhateme,2115.0,uhateme,2222.0
Al3ks1002,Al3ks1002,1815.1016224232312,Al3ks1002,2222.0
I_LOVE_NICKI_MINAJ,i_love_nicky_minaj,1917.0,shubham1412,2221.0
killjee,killjee,1776.0,killjee,2219.0
AnishG,anishg,1812.6069362564945,anishg,2219.0
shourov,shourov.sust,2108.0,shourov_sust,2218.0
sinhriv,tachibana_marika,2412.0,rhymastic,2218.0
archit_jain08,archit_jain09,1811.7753742009156,archit_jain08,2218.0
Equinox,100pi,1811.7753742009156,equlnox,2218.0
namanjainiitbhu,revpro,1859.0,naman_18_jain,2217.0
gohan95,gohan95,1959.0,gohan95,2217.0
farhan132,farhan132,2170.0,farhan132,2217.0
swetankmodi,swetank,1640.0,swetankmodi,2214.0
pparwal12,pparwal12,1808.4491259785998,pparwal12,2214.0
tanishqg5325,tanishqg5325,2108.0,tanishqg5325,2211.0
dragonslayerx,dragonslayerx,1968.0,dragonslayerx,2210.0
arshadg,arshad1999,1995.0,ars2117,2209.0
Orange_Juice,yomapeed,1748.0,nevermore2002,2207.0
pakalns,pakalns,1800.1335054228105,ppakalns,2204.0
raghumdani,6.46E+73,1742.0,raghumdani,2203.0
abhayps,abhayps,1852.0,abhayps,2201.0
l_returns,l_returns,2141.0,l_returns,2200.0
red_devil,,1796.8072572004946,l_returns,2200.0
VladaMG98,vladamg98,2427.0,vladamg98,2195.0
bond007,manu1311,1902.0,manujain,2194.0
ArtSin,artsin666,1936.0,artsin6,2194.0
Nowheretorock,striver_79,1942.0,striver_79,2194.0
striver_79,striver_79,1791.8178848670211,striver_79,2194.0
danft,danft,1790.9863228114423,danft,2193.0
prmsngh,prmsngh,1790.9863228114423,paramsingh,2193.0
pluristiq,pluristiq,1409.0,pluristiq,2192.0
hkyiitd,hkyiitd,2102.0,hkyiitd,2192.0
swastik1996,swastik1996,1790.1547607558632,swastik1996,2192.0
vaibhav138,vaibhav138,1947.0,vaibhav138,2191.0
rashish,rashish2202,1977.0,rashish2202,2191.0
kazi_nayeem,codename27,1788.4916366447055,kazi_nayeem,2190.0
nilesh3105,nilesh3105,1687.0,nilesh3105,2188.0
inc_practice,psychik,2159.0,psychik,2188.0
juckter,ari,2442.0,juckter,2187.0
souradeep1999,codeforces.com/profile/souradeep.99,1784.3338263668109,souradeep1999,2185.0
ketanhwr,ketanhwr,1784.3338263668109,ketanhwr,2185.0
handa,aakashhanda,1941.0,aakashrockstar,2184.0
rishabhjain7894,rishabh7699,2322.0,rishabh7699,2184.0
VVD4,vvd4,1674.0,vvd4,2183.0
aminul,aminul,1914.0,aminul_haq,2179.0
mdhivagar18,dhivagar,1932.0,mdhivagar18,2179.0
AdC_AB2,adc_ab2,2055.0,adc_ab2,2179.0
shikhar7s,shikhar7s,2118.0,shikhar7s,2179.0
pin3da,pin3da,1725.0,mpineda,2178.0
Wild_Stone,wild4stone,1679.0,wild4stone,2177.0
Dhruvil_Kakadiya,dhruvil_kakadiya,1859.0,c0d3rg,2177.0
ag73,akshaygahlot73,2149.0,ag73,2177.0
kvsk,,1776.8497678666004,kvsk,2176.0
baohiep,baohiep,1776.0182058110215,baohiep,2175.0
sidthe1,sidthe1,1829.0,sidthe1,2174.0
the_phoenixx,the_phoenixx,1731.0,the_phoenixx,2173.0
mishraiiit,mishraiiit,1864.0,mishraiiit,2173.0
vaibhavvg,vaibhavvg,1839.0,vaibhavvg,2172.0
mohit_1995,mohit_3090,1773.5235196442845,mohit_1995,2172.0
masterstroke,masterstroke,2113.0,no_excuses,2171.0
ltsunlshptntl,prakharjain,1772.6919575887057,ptntialunrlsd,2171.0
_NICkk,_nickk,1892.0,nick1231,2170.0
secret0123,pranav0123,1970.0,pranav0123,2170.0
Cegax12,cegax,1771.8603955331268,cegax,2170.0
math10,math10,1631.0,math10,2169.0
xbiz,2360,1967.0,re6044,2169.0
2360,2360,1771.0288334775478,re6044,2169.0
lockdown,lockdown,1771.0288334775478,shashank2209,2169.0
6aren,6aren,2587.0,bk6aren,2168.0
shyambajaj,shyambajaj,1838.0,codemaster3840,2167.0
shubhamgarg1,shubhamgarg1,1857.0,shubhamgarg1,2166.0
puneetrai04,puneetrai04,1978.0,puneetrai04,2166.0
prb456,prb456,1677.0,prb456,2165.0
adi28galaxyak,adi28galaxyak,1767.7025852552322,adi28galaxyak,2165.0
swapnil07,swapnil07,1766.0394611440743,swapnil07,2163.0
regex0754,regex0754,1648.0,regex0754,2162.0
destructor1041,ap1008,2160.0,whynotme,2162.0
Reziba,reziba,1571.0,abizerl123,2161.0
vivekkumar1595,vivekkumar1595,1797.0,vivekkumar1595,2160.0
vineetonrole,vineetonrole,1763.5447749773375,vineetonrole,2160.0
taasans123,amar_1997,1763.5447749773375,taasans123,2160.0
preet_25,preet_25,1763.5447749773375,preet_25,2160.0
CT7,ct7,1624.0,oblivion_7,2158.0
abhi_1595,abhi_1595,1652.0,abhi_1595,2158.0
hustlerr,hustlerr,1761.8816508661796,hustlerrr,2158.0
ayush1996,ayush24,1761.0500888106005,ayush1996,2157.0
shubham1694,shubham1694,1167.0,shubham1694,2156.0
mkisic,mkisic,1828.0,logico,2156.0
hemant9271,hemant1729,1760.2185267550217,hemant1729,2156.0
shovonshovo,shovonshovo,1760.2185267550217,shovonshovo,2156.0
huzaifa242,huzaifa242,1723.0,huzaifa242,2155.0
rsd511,rsd511,1758.5554026438638,rsd511,2154.0
saatwik,saatwik27,1770.0,saatwik27,2153.0
vampire_slayer,vampire_slayer,1976.0,vampire_slayer,2153.0
ciphereck,ciphereck,1659.0,ciphereck,2152.0
aloochaat1998,alooochaat1998,1894.0,aloochaat1998,2152.0
universe,universe-,2154.0,universee,2152.0
katta,ambesh,1712.0,ambesh,2149.0
code_kika,code_kika,1823.0,code_kika,2149.0
Anmol17220,anmol17220,2025.0,anmoliiitd,2149.0
adarshagr8,adarshagr8,1688.0,adarshag,2148.0
abhishek944,abhishek944,1753.5660303103903,abhishek944,2148.0
yudhik,yudhik,1946.0,yudhik,2147.0
Adarsh8409,adarsh8409,1750.2397820880744,adarsh_kashyap,2144.0
nightmare0513,nightmare05,2236.0,nightmare05,2143.0
shivam543,shivamkakkar,1749.4082200324956,shivam543,2143.0
ab13123002,ab13123002,1611.0,ab13123002,2141.0
darthVader,root8950,1747.7450959213377,root8950,2141.0
vyomkesh,vyomkesh,1760.0,darkhorse65,2140.0
Rhythm21,hemesh_dj,1807.0,hemeshdj,2139.0
rajdetroja,rajdetroja,1746.0819718101798,rajdetroja,2139.0
tusingha,hephaestus,1914.0,tusharsingh,2138.0
rtasmeem,bruteforceman,2209.0,tasmeemreza,2136.0
binaryboy1234,binaryboy1234,1742.7557235878642,captain1337,2135.0
d_shekhar,d_shekhar,1647.0,d_shekhar,2134.0
gautam27,gautam27,1661.0,algorithmist2,2134.0
s_jindal00,s.jindal,1741.924161532285,s_jindal00,2134.0
spidy7,spidy7,2240.0,ak_garg__,2133.0
mrtempo,mrtempo,1740.2610374211272,mrtempo,2132.0
Black_Beard009,black_be4rd,1917.0,black_beard007,2131.0
d_skyhawk,d_skyhawk,1739.4294753655483,d_skyhawk,2131.0
aatrey,aatrey,1738.5979133099695,aatrey07,2130.0
atharva_sarage,atharva_sarage,1736.0,atharva_sarage,2129.0
cypherop,cypherop,2022.0,cypherop,2129.0
rahul_iit,rahul_iit,2131.0,rahul_iit,2129.0
gear4,gear4,1737.7663512543904,gear4,2129.0
dragneel3131,dragneel3131,1679.0,dragneel3131,2128.0
Masum_Billa_19,masum_billa_19,1931.0,masumbilla_19,2128.0
AaryanS,_aaryan_,1969.0,ssj5_aaryan,2128.0
srijan123j,srijan123j,1736.1032271432325,srijan123j,2127.0
dontclickme,all_out,1868.0,jaydeep97,2126.0
Inov,abhinavvv306,2322.0,inov_360,2126.0
doltferns,doltferns,1735.2716650876537,doltferns,2126.0
ag996,iknowirock,1470.0,adityaghosh996,2125.0
ymahajan98,ymahajan98,1934.0,ymahajan98,2124.0
shivam0891,shivam0891,1733.6085409764958,shivam0891,2124.0
eklavya,eku,1698.0,sharmaeklavya2,2123.0
pqrst,nik_y,2103.0,nik_y,2123.0
adarsh_1_gupta,cyber_wizard,1919.0,gupta_adarsh,2122.0
karanagarwalla,karanagarwalla,2135.0,karanagarwalla,2122.0
murugappan_s,murugappan_s,1902.0,murugappan_s,2121.0
geniucos,geniucos,1731.113854809759,geniucos,2121.0
raiden11,raiden_11,1731.113854809759,raiden11,2121.0
hm98,hm_98,2031.0,hm_98,2120.0
hm_98,hm_98,2031.0,hm_98,2120.0
rohit_goyal,rohit_goyal,2150.0,rohit_goyal,2120.0
tanzir5,maxon5,2171.0,tanzir5,2119.0
avmnusng,,1729.450730698601,avmnusng,2119.0
unknown0711,unknown0711,1729.450730698601,anshg0711,2119.0
akshaykumar99,akshaykumar99,1729.450730698601,akshaykumar01,2119.0
anmol21,loser21,2038.0,anmol21,2118.0
Renauga,tourist,3764.0,renauga,2118.0
tariqiitju,tariqiitju,1728.6191686430222,tariqiitju,2118.0
dawnavd,dawnavd,1454.0,dawnavd,2117.0
lalit_1,lalit1,1543.0,lalit_1,2117.0
manujk,akamg,1701.0,manujg,2117.0
p_unit,p_unit,1727.7876065874432,p_unit,2117.0
muNick,munick,1727.7876065874432,anubhav2512,2117.0
akjn,akjn,1570.0,akjn,2116.0
RkHamim,hamim99,1727.0,hamim_1804126,2116.0
prisonbreak_ms,its_atrap,1789.0,prisonbreak_ms,2116.0
manas_gupta,manasg,1726.1244824762855,manas_gupta,2115.0
mouryasatyam,mouryasatyam,1763.0,mourya_satyam,2114.0
grey_hat_geek,koshle,1725.2929204207064,miitbh1,2114.0
gommale,,1725.2929204207064,akshayvenkat97,2114.0
George_Ogden,geroge_ogden,1725.2929204207064,george_ogden,2114.0
stranger7,stranger7,1294.0,stranger7,2113.0
haha_akash,haha_akash,1763.0,haha_akash,2113.0
deepsavani,deepsavani,1833.0,deepdsavani,2113.0
born_confused,born_confused,1863.0,suryansh619,2113.0
prasant21,prasant21,1936.0,prasant21,2113.0
dreamplay,dreamplay,1930.0,dreamplay,2112.0
luucasv,luucasv,1992.0,lvcs,2112.0
Sp020700,aur_batao,2170.0,what_is_coding,2112.0
prashanth_rebala,prashanth_rebala,1779.0,prash_rebala,2111.0
psycane,,1722.7982342539697,himanshu_m,2111.0
sai_rathan,sai_rathan,1513.0,sai_rathan,2110.0
angesh,angesh,1928.0,angeshs,2110.0
bigcrunch,bigcrunch,1978.0,kaush97,2110.0
Rox,rox,1721.9666721983908,arxmath,2110.0
avijit_agarwal,avijit_agarwal,2020.0,avijit_agarwal,2109.0
naman5811,naman5811,1603.0,naman5811,2108.0
shado_w,shado_w,1923.0,shado_w,2108.0
HimanShu09,himanshu09,1720.303548087233,himanshu102,2108.0
sadid,sadid_005,1720.303548087233,sadidshaikh,2108.0
gkashish,gkashish,1908.0,gkashish,2107.0
harshhx17,harshhx17,1719.4719860316538,harshhx17,2107.0
gaurav_8,gaurav_8,1719.4719860316538,gaurav_8,2107.0
PR_0202,pr_0202,2171.0,pr_0202,2106.0
ujjawalpabreja99,cuber_coder,2177.0,ujjawalpabreja,2106.0
aayushdw,dwivedi,1718.640423976075,aayushdw,2106.0
suraj_ch77,suraj_ch77,1717.8088619204962,suraj_ch77,2105.0
gakshat468,gakshat468,1618.0,akshat468,2104.0
Rajdeep2001,rajdeep,1716.977299864917,rajdeep2001,2104.0
anuragsingh804,anuragsingh804,2110.0,anuragsingh804,2103.0
hellman,hellman1908,1716.1457378093382,hellman,2103.0
trijeet,trijeet,1600.0,trijeet,2102.0
nemish,n1e2m3,1810.0,sna902055,2102.0
punitg8,punitg8,1828.0,punitg8,2101.0
AlexandruValeanu,alexandruvaleanu,1901.0,alexvaleanu,2101.0
tanvir,t17,1941.0,tanvirtareq,2101.0
mariand,mariand,2260.0,mariand,2101.0
abhishekk781,abhishekk781,1686.0,abhishekk781,2100.0
sajib_readd,sajibreadd,1769.0,sajib_readd,2100.0
viSkey,suga,1884.0,viskey,2100.0
harsh1610,harsh1610,1924.0,harsh1610,2100.0
rohit659,rohitman659,1713.6510516426015,rohit659,2100.0
ap_2089,ap_2089,1691.0,xqb_83,2099.0
pritishn,pritishn,1976.0,pritishn,2099.0
amul123,amul_agrawal,2141.0,awesome_amul,2099.0
vipin_bhardwaj,vipin_bhardwaj,1712.8194895870224,vipin_bhardwaj,2099.0
giorgosgiapis,,1712.8194895870224,giorgosgiapis,2099.0
hungryfool,hungryfool,1533.0,hungryfool,2098.0
ankan2526,ankan2526,1710.0,ankan2526,2098.0
sherewillpower,sherewillpower,1711.9879275314436,sherewillpower,2098.0
rtheman,rtheman,1492.0,rtheman,2097.0
codemastercpp,codemastercpp,1787.0,codemastercpp,2097.0
rushi_patel11111,rushi_patel11111,1884.0,rushi11111,2097.0
Dishant_18,dishant_18,1915.0,dishant_18,2097.0
MohamedAhmed04,mohamedahmed04,2450.0,mohamedahmed04,2097.0
dhruval161,dhruval161,1711.1563654758645,dhruval161,2097.0
Darshil_Shah,darshil_shah,1844.0,shah_darshil,2096.0
sauravray2587,sauravray2587,1947.0,sauravray2587,2096.0
killerbee,killer_bee,1807.0,tapish13031997,2095.0
geckods,geckods,2161.0,geckods,2095.0
aseemraj,scion,1709.4932413647068,aseemraj,2095.0
shakti,mr_knownothing,1721.0,mr_knownothing,2094.0
Believe,believe,1708.6616793091277,nikhil982000,2094.0
ravik1,ravik1,2081.0,ravik1,2093.0
l0gic_b0mb,l0gic_b0mb,1693.0,l0gic_b0mb,2092.0
eightnoteight,eightnoteight,1717.0,eightnoteight,2092.0
return__zero,return__zero,1706.99855519797,shivam_wadhwa,2092.0
ankurverma1994,ankurverma1994,1297.0,ankurverma1994,2091.0
Amiy2908,amiy_tiwari,1836.0,amiy_tiwari,2091.0
unmesh_kumar,_xorcestor_x,1706.166993142391,unmesh_kumar,2091.0
ychhabra60,,1706.166993142391,ychhabra60,2091.0
sak_agg,sak_agg,1830.0,sak_agg,2090.0
aman92053,amystar101,1705.3354310868122,aman92053,2090.0
nightfury1204,nightfury1204,1705.3354310868122,nahidcuet12,2090.0
vivek_zi,why_._,1705.3354310868122,vivek_zi,2090.0
liaojh1998,liaojh,1705.3354310868122,liaojh,2090.0
SachinAgarwal,techknight410,1319.0,sachin_4099,2089.0
yash0530,scaryterry,1704.503869031233,yash530,2089.0
anushi,anushi1998,1704.503869031233,anushi,2089.0
ak532,ak532,1791.0,adarshkr532,2088.0
coder_harsha,harshaa05,1831.0,harshaa05,2088.0
sneh42,sneh123,1886.0,snehgupta42,2088.0
ashutosh97,ashutosh450,2166.0,ashutosh450,2088.0
kuwal786,_karn,1914.0,kuwal786,2087.0
s4shyam95,s4shyam95,1950.0,s4shyam95,2087.0
white__walker,white__walker,1992.0,white__walker,2087.0
fishy15,fishy15,2080.0,fishy15,2087.0
notwatermango,notwatermango,1720.0,notwatermango,2086.0
anand873,doubleux,2108.0,doubleux,2086.0
Blitztage,blitztage,2150.0,charizard21,2086.0
saanc,saanc,1702.0091828644963,saanc,2086.0
Inferno2332,inferno2332,1678.0,inferno2332,2085.0
gravito12345,gravito12345,1701.1776208089175,gravito12345,2085.0
Retarded_Ape,_infinite_v0id_,1861.0,retarded_ape,2084.0
abhineet14,abhineet14,1682.0,abhineet14,2083.0
tanzim_bn,tanzim_bn,1772.0,tanzim_bin,2083.0
YuvrajSharma,yuvrajsharma,1842.0,yuvraj908,2083.0
knok16,knok16,1882.0,knok16,2083.0
hitesh_0301,hitesh_0301,2125.0,hitesh_0301,2083.0
pseudocoder10,pseudocoder10,2144.0,pseudocoder10,2083.0
salik,abx_2109,1698.6829346421807,abx_2109,2082.0
smit_37_mist,smit_37_mist,1698.6829346421807,smit37_mist,2082.0
frost_,frost_,1698.6829346421807,frost_,2082.0
mradul12,bhatnagar.mradul,1699.0,mradul12,2081.0
DrSwad,drswad,1697.8513725866017,drswad,2081.0
mkrjn99,mkrjn99,1638.0,mkrjn99,2080.0
muskan_garg,muskan_garg,1697.0198105310228,muskan_garg,2080.0
kg_05,khushboo05,1648.0,kg05kg05_05,2079.0
i_am_pratik,i.am.pratik,1965.0,poetic_soul,2079.0
darkshadows,darkshadows,1696.1882484754437,darkshadows,2079.0
DrinkWaterEatFood,drinkwatereatfood,1696.1882484754437,piedpiper,2079.0
i_am_the_danger,king_in_the_north,1696.1882484754437,drastogi21,2079.0
sawarnik123,sawarnik,1932.0,sawarnik123,2078.0
fakhrulsojib,fakhrulsojib,1955.0,fakhrulsojib,2078.0
rs258,rs258,1993.0,rishisethia,2078.0
agarwal_keshav,agarwal_keshav,1695.356686419865,agarwal_keshav,2078.0
jonsnow7,jonsnow7,1476.0,jonsnow7,2076.0
guptautkarsh2512,guptautkarsh2512,1581.0,kqr45j,2076.0
ninja_28,ninja_28,1765.0,kanish_anand,2076.0
Md_Atik,m_a_r,1693.693562308707,atik_27,2076.0
abhi2812,abhi2812,1693.693562308707,abhi2812,2076.0
scooby,scoobybutter,1693.693562308707,scoobybutter,2076.0
praby,praby,1593.0,praby,2075.0
satyamshrma,satyamshrma,1787.0,skumarsharma,2075.0
ronakvaghela45,ronakvaghela45,1893.0,ronakvaghela45,2075.0
husdabest,shash42,2009.0,harrycoda,2075.0
Gigaliths,gigaliths,1692.8620002531281,gigaliths,2075.0
rishabh_2621,aryanverma2412,1667.0,risha_ver_2621,2074.0
PratyushBansal,pratyushbansal26,1935.0,pratyush26,2074.0
rmatrix,rmatrix,1967.0,rmatrix,2074.0
8shubham,8shubham,1542.0,shubhamkothari,2073.0
sayam_sethi2,sayam.sethi2,1754.0,sayam2,2073.0
NMrinal,nilotpal,1589.0,nilotpal9797,2072.0
reyaan44,reyaan44,1950.0,reyaan44,2072.0
yash_0402,yash_0402,1690.3673140863914,yash_0402,2072.0
vagab0nd,_vagabond,1941.0,vagab0nd,2071.0
Mrityuanjaya,mg9336862948,1689.5357520308123,mrityuanjaya,2071.0
Fayaz,fayaz,1777.0,fayaz_007,2070.0
georgejsh,georgejsh,1814.0,georgejsh,2070.0
shivansh1102,shivanshshukla60,1823.0,shivansh1102,2070.0
digu_J,digu_j,1963.0,digu_j,2070.0
saurv4u,saurv4u,1688.7041899752335,saurv4u,2070.0
nitin12384,nitin12384,1757.0,nitinkumar1238,2069.0
Nikki371,nikki371,1619.0,nikki371,2068.0
daysofgold,gamer37,1807.0,suah0205,2068.0
evan,ho-jo-bo-ro-lo,1687.0410658640756,evan_hossain,2068.0
bonfire,bonfire,1687.0410658640756,bonfire,2068.0
abhishek20113,abhishek20113,1303.0,abhishek20113,2067.0
Your_dad,your_dad,1657.0,nonushikhar,2067.0
Ashish_aryan1,omja,1911.0,ashish_aryan02,2067.0
udow,udhavvarma03,1686.2095038084967,udhav2003,2067.0
abhinav_2306,abhinav_2306,1686.2095038084967,jslim,2067.0
A_singhal,a_singhal,1685.3779417529176,thunder_blade,2066.0
vidhan,vidhan13j07,1643.0,vidhan13j07,2065.0
abj02,abj02,1684.5463796973388,abhishekjha01,2065.0
mesksr,mesksr,1684.5463796973388,mesksr,2065.0
Adroit,legend.ary_as,1684.5463796973388,random_noob,2065.0
abhi_neel,abhi_neel,1684.5463796973388,abhi_neel,2065.0
mr_nastik,mr_nastik,1606.0,mr_nastik,2064.0
Aabhas99,aabhas99,1683.7148176417597,aabhas99,2064.0
hybrid,hybrid,1683.7148176417597,hybrid404,2064.0
AbhiTaker,abhitaker,1665.0,deadcode4,2063.0
vs12345,linux0403,1784.0,vasu0403,2063.0
TheOneYouWant,theoneyouwant,2308.0,theoneyouwant,2063.0
vasu0403,vasu0403,1682.883255586181,vasu0403,2063.0
yranka309,yranka309,1682.883255586181,yranka309,2063.0
groot_here,anand80hack,1459.0,depressed_code,2062.0
groot8045,anand80hack,1459.0,depressed_code,2062.0
